image_path,true_label,true_class,pred_label,pred_class
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_1505.jpg,7,Residential,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_1576.jpg,0,AnnualCrop,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_888.jpg,3,Highway,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Industrial\Industrial_594.jpg,4,Industrial,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Industrial\Industrial_707.jpg,4,Industrial,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Industrial\Industrial_2355.jpg,4,Industrial,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Forest\Forest_1974.jpg,1,Forest,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1724.jpg,3,Highway,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_2382.jpg,2,HerbaceousVegetation,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1304.jpg,3,Highway,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1840.jpg,3,Highway,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_527.jpg,0,AnnualCrop,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1117.jpg,3,Highway,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_1338.jpg,2,HerbaceousVegetation,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_2872.jpg,2,HerbaceousVegetation,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_1222.jpg,2,HerbaceousVegetation,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_2383.jpg,9,SeaLake,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_262.jpg,3,Highway,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_14.jpg,8,River,9,SeaLake
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_2432.jpg,9,SeaLake,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_2244.jpg,7,Residential,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_1812.jpg,6,PermanentCrop,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_2511.jpg,9,SeaLake,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_517.jpg,7,Residential,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_2764.jpg,9,SeaLake,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_2571.jpg,2,HerbaceousVegetation,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_637.jpg,7,Residential,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_752.jpg,2,HerbaceousVegetation,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Forest\Forest_1594.jpg,1,Forest,9,SeaLake
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_2145.jpg,7,Residential,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_2277.jpg,8,River,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_2263.jpg,8,River,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_866.jpg,3,Highway,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_335.jpg,2,HerbaceousVegetation,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_1926.jpg,2,HerbaceousVegetation,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_1081.jpg,6,PermanentCrop,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_2323.jpg,3,Highway,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_2277.jpg,6,PermanentCrop,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_1476.jpg,6,PermanentCrop,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Pasture\Pasture_434.jpg,5,Pasture,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_48.jpg,2,HerbaceousVegetation,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_1132.jpg,2,HerbaceousVegetation,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_587.jpg,6,PermanentCrop,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_1440.jpg,8,River,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_277.jpg,8,River,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_159.jpg,7,Residential,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_2951.jpg,2,HerbaceousVegetation,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_1134.jpg,7,Residential,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1227.jpg,3,Highway,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Industrial\Industrial_1740.jpg,4,Industrial,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_461.jpg,7,Residential,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_1538.jpg,6,PermanentCrop,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_2235.jpg,2,HerbaceousVegetation,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_2309.jpg,3,Highway,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_2850.jpg,7,Residential,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_224.jpg,7,Residential,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_996.jpg,2,HerbaceousVegetation,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Forest\Forest_2167.jpg,1,Forest,9,SeaLake
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1094.jpg,3,Highway,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1780.jpg,3,Highway,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_1910.jpg,0,AnnualCrop,9,SeaLake
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_668.jpg,2,HerbaceousVegetation,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_237.jpg,3,Highway,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_1619.jpg,0,AnnualCrop,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_664.jpg,7,Residential,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Forest\Forest_2027.jpg,1,Forest,9,SeaLake
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_109.jpg,7,Residential,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_64.jpg,8,River,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_2396.jpg,9,SeaLake,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Pasture\Pasture_1237.jpg,5,Pasture,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_354.jpg,3,Highway,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_2187.jpg,6,PermanentCrop,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_419.jpg,0,AnnualCrop,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_1686.jpg,7,Residential,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_2873.jpg,0,AnnualCrop,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1562.jpg,3,Highway,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Industrial\Industrial_241.jpg,4,Industrial,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_75.jpg,9,SeaLake,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_120.jpg,6,PermanentCrop,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_2159.jpg,9,SeaLake,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_1396.jpg,8,River,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_2012.jpg,0,AnnualCrop,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Pasture\Pasture_1718.jpg,5,Pasture,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_1601.jpg,7,Residential,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_192.jpg,0,AnnualCrop,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_528.jpg,7,Residential,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_377.jpg,9,SeaLake,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Pasture\Pasture_347.jpg,5,Pasture,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_771.jpg,0,AnnualCrop,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_1682.jpg,9,SeaLake,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_690.jpg,2,HerbaceousVegetation,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_141.jpg,8,River,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_1724.jpg,6,PermanentCrop,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Industrial\Industrial_414.jpg,4,Industrial,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_397.jpg,8,River,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_2827.jpg,2,HerbaceousVegetation,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_436.jpg,3,Highway,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_1979.jpg,6,PermanentCrop,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1090.jpg,3,Highway,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_1350.jpg,0,AnnualCrop,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_623.jpg,9,SeaLake,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_311.jpg,2,HerbaceousVegetation,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Forest\Forest_2889.jpg,1,Forest,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_2210.jpg,2,HerbaceousVegetation,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Pasture\Pasture_173.jpg,5,Pasture,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_704.jpg,3,Highway,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1884.jpg,3,Highway,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_1938.jpg,7,Residential,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_2112.jpg,0,AnnualCrop,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_942.jpg,3,Highway,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Pasture\Pasture_694.jpg,5,Pasture,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_1953.jpg,6,PermanentCrop,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_1640.jpg,6,PermanentCrop,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_1005.jpg,7,Residential,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_2239.jpg,6,PermanentCrop,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_718.jpg,8,River,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_498.jpg,3,Highway,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_867.jpg,0,AnnualCrop,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_535.jpg,6,PermanentCrop,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_2224.jpg,0,AnnualCrop,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Pasture\Pasture_1196.jpg,5,Pasture,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_2361.jpg,7,Residential,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Pasture\Pasture_172.jpg,5,Pasture,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_1355.jpg,9,SeaLake,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_797.jpg,0,AnnualCrop,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_1079.jpg,0,AnnualCrop,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_1619.jpg,8,River,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_124.jpg,6,PermanentCrop,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Forest\Forest_2295.jpg,1,Forest,9,SeaLake
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_682.jpg,0,AnnualCrop,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_171.jpg,7,Residential,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_522.jpg,6,PermanentCrop,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_1494.jpg,7,Residential,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Pasture\Pasture_1315.jpg,5,Pasture,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Forest\Forest_999.jpg,1,Forest,9,SeaLake
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Forest\Forest_1759.jpg,1,Forest,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Forest\Forest_1334.jpg,1,Forest,9,SeaLake
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_1549.jpg,9,SeaLake,5,Pasture
